time,temperature,pressure,humidity,fan,battery,mic
2022-03-08 14:01:19.954027,29.92,101016.60,87.20,91,224,557
2022-03-08 14:01:22.121751,29.87,101017.51,77.47,91,200,2262
2022-03-08 14:01:25.902241,29.85,101021.06,78.86,91,204,3111
2022-03-08 14:01:29.661793,29.89,101005.11,82.47,90,213,5235
2022-03-08 14:01:33.438903,30.00,101006.22,83.97,89,216,2644
2022-03-08 14:01:37.227743,30.09,101012.38,81.24,90,210,2567
2022-03-08 14:01:40.995823,30.14,101013.77,80.57,90,208,2802
2022-03-08 14:01:44.770352,30.17,101016.80,79.79,90,206,2232
2022-03-08 14:01:48.559216,30.21,101017.44,79.43,91,205,2779
2022-03-08 14:01:52.333097,30.24,101015.83,77.93,91,201,945
2022-03-08 14:01:56.102128,30.22,101018.35,72.74,89,188,3133
2022-03-08 14:01:59.886652,30.19,101015.28,73.56,89,190,2996
2022-03-08 14:02:03.656267,30.21,101011.44,79.05,89,204,1991
2022-03-08 14:02:07.454084,30.27,101009.14,82.04,89,212,1794
2022-03-08 14:02:11.223212,30.31,101008.87,82.12,89,212,3020
2022-03-08 14:02:15.004608,30.33,101009.99,81.72,90,211,2585
