time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,fan
2021-04-14 15:29:56.182724,25.08,101176.58,37.05,12.36,-10.54,0.06,1.35,-0.04,-0.06,0.19,15312,-1
2021-04-14 15:29:56.430928,25.87,101215.82,37.10,9.81,-8.99,0.97,5.39,0.34,-0.08,0.14,2509,-1
2021-04-14 15:29:56.912624,26.87,101206.53,41.32,9.87,-9.21,1.22,4.95,0.37,-0.01,0.13,1072,-1
2021-04-14 15:29:57.391706,26.58,101167.75,47.78,13.10,-8.82,1.64,4.50,0.01,0.11,0.01,1122,-1
2021-04-14 15:29:57.871652,25.93,101178.61,53.91,12.20,-9.25,1.54,3.26,-0.21,0.13,0.19,713,-1
2021-04-14 15:29:58.351933,25.54,101203.04,59.16,10.16,-9.46,0.66,3.72,2.06,-0.11,0.16,1297,-1
2021-04-14 15:29:58.831751,25.88,101195.23,63.72,10.81,-9.14,1.24,4.77,-0.72,0.34,0.32,1286,-1
2021-04-14 15:29:59.311968,26.24,101217.14,67.78,8.98,-8.87,1.30,5.37,-0.98,0.36,0.44,4219,-1
2021-04-14 15:29:59.792210,27.47,101244.81,71.43,6.68,-9.20,1.40,5.93,-1.24,0.10,-0.08,1206,-1
2021-04-14 15:30:00.271635,27.62,101214.09,74.63,9.24,-9.65,-0.98,6.90,-4.12,2.04,-0.24,839,-1
2021-04-14 15:30:00.751709,27.33,101196.38,77.35,10.71,-8.93,1.67,3.33,0.02,0.19,-0.05,874,-1
2021-04-14 15:30:01.232139,27.14,101198.45,79.68,10.54,-8.95,1.53,3.52,-0.36,0.26,-0.05,672,-1
2021-04-14 15:30:01.711253,26.97,101197.96,81.66,10.58,-9.65,0.96,2.73,-0.33,0.08,0.13,663,-1
2021-04-14 15:30:02.191874,26.83,101219.55,83.42,8.78,-9.60,1.30,3.27,-0.28,0.10,0.05,616,-1
2021-04-14 15:30:02.671709,27.03,101219.06,85.02,8.82,-9.40,1.47,3.43,-0.06,0.09,0.03,435,-1
2021-04-14 15:30:03.151526,27.27,101211.07,86.41,9.49,-9.30,1.48,3.46,-0.03,0.13,0.08,275,-1
2021-04-14 15:30:03.631807,27.42,101207.11,87.62,9.82,-9.29,1.28,3.34,0.08,0.15,0.06,256,-1
2021-04-14 15:30:04.111671,27.55,101202.23,88.69,10.23,-9.04,1.28,3.38,0.25,0.16,0.10,504,-1
2021-04-14 15:30:04.592032,27.48,101200.66,89.58,10.36,-9.17,1.41,2.76,-0.09,0.12,0.06,380,-1
2021-04-14 15:30:05.071777,27.21,101204.24,90.37,10.06,-9.23,1.28,2.80,0.04,0.07,0.13,555,-1
2021-04-14 15:30:05.551651,27.01,101206.11,91.00,9.90,-8.08,2.71,2.39,0.25,0.09,0.34,2862,-1
2021-04-14 15:30:06.031793,26.93,101209.12,91.65,9.65,-9.28,2.49,1.67,0.40,0.23,0.21,1202,-1
2021-04-14 15:30:06.511724,27.20,101240.80,92.32,7.01,-9.16,0.83,2.44,0.16,-0.11,0.23,6508,-1
2021-04-14 15:30:06.991871,28.93,101202.89,92.86,8.07,-9.42,2.31,2.83,-0.69,0.38,0.09,2394,-1
2021-04-14 15:30:07.471786,29.31,101222.47,93.29,8.54,-9.54,2.03,1.61,-2.73,0.42,0.37,1025,-1
2021-04-14 15:30:07.951733,28.95,101216.97,93.60,9.00,-10.09,-0.19,0.65,5.00,-1.24,-2.77,1068,-1
2021-04-14 15:30:08.431104,28.60,101214.58,93.88,9.20,-9.62,-2.05,2.60,-0.31,0.49,0.44,480,-1
2021-04-14 15:30:08.911729,28.44,101209.70,94.13,9.60,-10.59,-1.25,2.23,-0.21,-0.14,0.56,835,-1
2021-04-14 15:30:09.392083,28.33,101215.79,94.35,9.10,-9.13,-0.56,2.43,-0.05,0.21,0.09,1022,-1
2021-04-14 15:30:09.871776,28.29,101233.52,94.65,7.62,-9.41,-0.52,2.89,-0.02,0.04,0.17,567,-1
2021-04-14 15:30:10.351829,28.49,101224.02,94.82,8.41,-9.64,-0.77,3.12,-0.05,0.16,-0.02,435,-1
2021-04-14 15:30:10.831835,28.66,101225.05,95.02,8.33,-8.89,-0.77,3.47,-0.01,0.19,0.01,372,-1
2021-04-14 15:30:11.312125,28.68,101208.30,95.20,9.72,-9.34,-0.82,2.64,-0.05,0.15,0.06,1108,-1
2021-04-14 15:30:11.792709,28.51,101210.93,95.28,9.50,-9.33,-0.75,3.56,-0.24,0.01,-0.04,387,-1
2021-04-14 15:30:12.271833,28.28,101211.86,95.41,9.42,-9.34,-0.69,3.09,-0.09,0.21,0.25,369,-1
2021-04-14 15:30:12.751879,28.09,101212.68,95.51,9.36,-9.36,-0.71,3.56,-0.14,0.27,-0.13,554,-1
2021-04-14 15:30:13.231903,28.03,101234.33,95.61,7.55,-9.54,-1.14,2.88,0.12,0.14,0.11,1027,-1
2021-04-14 15:30:13.711625,28.21,101228.95,95.78,8.00,-9.33,-1.12,3.09,0.12,0.25,0.10,592,-1
2021-04-14 15:30:14.191913,28.43,101222.44,95.88,8.54,-9.42,-0.66,3.46,-0.09,0.16,0.07,197,-1
2021-04-14 15:30:14.671843,28.51,101218.30,96.05,8.89,-9.27,-0.75,3.32,-0.03,0.15,0.09,370,-1
2021-04-14 15:30:15.151517,28.50,101209.66,96.09,9.61,-9.08,-0.78,3.06,0.02,0.16,-0.03,559,-1
2021-04-14 15:30:15.631839,28.31,101210.86,96.13,9.51,-9.34,-0.95,3.20,-0.03,0.13,0.06,413,-1
2021-04-14 15:30:16.112188,28.13,101214.18,96.18,9.23,-9.32,-0.84,3.36,-0.03,0.20,0.03,1440,-1
