time,temperature,pressure,humidity,fan,battery,mic
2022-03-03 16:18:14.109347,27.57,100605.99,90.68,91,233,1911
2022-03-03 16:18:14.174144,27.69,100604.91,91.35,89,235,8920
2022-03-03 16:18:17.950481,27.44,100606.19,84.70,89,218,5756
2022-03-03 16:18:21.726270,27.74,100607.41,84.68,90,218,15288
2022-03-03 16:18:25.503254,28.22,100611.01,93.44,91,240,25700
2022-03-03 16:18:29.280557,28.30,100608.08,95.81,91,246,11858
2022-03-03 16:18:33.057105,28.76,100603.49,97.22,91,250,14964
2022-03-03 16:18:36.830305,28.61,100604.23,96.75,91,248,21724
2022-03-03 16:18:40.607207,28.43,100604.50,97.46,92,250,10814
2022-03-03 16:18:44.382602,28.72,100606.61,97.47,89,250,18672
2022-03-03 16:18:48.159934,28.59,100605.03,95.73,89,246,6472
2022-03-03 16:18:51.934309,28.68,100606.16,96.57,89,248,8760
2022-03-03 16:18:55.711678,28.90,100609.78,97.00,92,249,16924
2022-03-03 16:18:59.486066,28.63,100602.06,93.20,89,239,7490
2022-03-03 16:19:03.263537,28.59,100607.48,93.81,90,241,6638
2022-03-03 16:19:07.038076,28.61,100608.70,92.81,91,238,15337
2022-03-03 16:19:10.814307,28.99,100606.73,96.10,90,247,23460
2022-03-03 16:19:14.590364,28.87,100608.02,96.01,91,246,22674
2022-03-03 16:19:18.364123,28.92,100608.95,97.22,89,250,19088
2022-03-03 16:19:22.141101,28.83,100607.56,94.56,90,243,34777
2022-03-03 16:19:25.917614,28.76,100607.86,93.76,91,241,11593
2022-03-03 16:19:29.692879,28.88,100606.59,95.08,90,244,33766
2022-03-03 16:19:33.468681,28.86,100611.44,97.11,92,249,10698
2022-03-03 16:19:37.245841,28.86,100608.23,96.86,90,249,16783
2022-03-03 16:19:41.021035,29.06,100603.39,95.06,91,244,17569
2022-03-03 16:19:44.798168,29.11,100603.32,94.68,89,243,22628
2022-03-03 16:19:48.573973,29.35,100605.34,96.76,91,248,6356
2022-03-03 16:19:52.350890,29.40,100605.61,97.90,90,251,9529
2022-03-03 16:19:56.125758,29.40,100608.14,97.34,89,250,10971
