time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 16:03:25.897558,31.33,101926.53,85.52,91,220,28549
2022-03-09 16:03:28.758679,31.35,101921.66,83.48,91,215,17564
2022-03-09 16:03:32.532469,31.39,101922.51,90.26,89,232,20605
2022-03-09 16:03:36.300520,31.81,101940.02,91.30,89,235,17406
2022-03-09 16:03:40.079166,31.78,101920.61,94.61,89,243,25190
2022-03-09 16:03:43.859712,31.88,101925.38,95.48,91,245,13176
2022-03-09 16:03:47.630800,32.02,101924.03,94.78,91,243,9501
2022-03-09 16:03:51.403825,32.41,101924.60,97.04,90,249,14996
2022-03-09 16:03:55.192935,32.04,101935.84,95.32,88,245,24416
2022-03-09 16:03:58.967960,32.33,101927.17,96.23,89,247,20125
2022-03-09 16:04:02.743871,32.39,101921.38,94.32,91,242,17105
2022-03-09 16:04:06.520686,32.26,101933.14,95.45,88,245,13655
2022-03-09 16:04:10.294942,32.30,101929.30,90.79,91,233,25165
2022-03-09 16:04:14.075096,32.04,101931.70,95.52,89,245,15051
2022-03-09 16:04:17.841978,32.75,101917.20,95.92,92,246,12831
2022-03-09 16:04:21.621323,32.66,101918.32,94.08,91,242,19306
2022-03-09 16:04:25.389653,32.21,101935.12,96.50,90,248,20019
2022-03-09 16:04:29.175602,32.96,101916.23,95.90,89,246,12889
2022-03-09 16:04:32.941039,32.31,101927.22,97.12,88,249,26699
2022-03-09 16:04:36.727683,33.03,101917.46,96.12,91,247,12349
2022-03-09 16:04:40.504293,32.73,101913.19,91.04,88,234,15319
2022-03-09 16:04:44.270278,33.13,101915.59,95.70,90,246,34602
2022-03-09 16:04:48.049718,33.01,101830.77,95.85,89,246,31164
2022-03-09 16:04:51.831704,33.09,101919.19,95.17,90,244,16455
2022-03-09 16:04:55.609681,32.85,101853.62,93.47,90,240,24864
2022-03-09 16:04:59.379832,33.22,101921.18,94.79,90,243,15421
2022-03-09 16:05:03.151883,32.99,101910.71,92.49,89,238,15993
2022-03-09 16:05:06.923665,33.17,101920.98,94.86,89,244,11839
2022-03-09 16:05:10.707614,33.35,101824.37,97.14,89,249,26054
2022-03-09 16:05:14.477601,33.32,101924.36,95.82,91,246,11800
