time,temperature,pressure,humidity,fan,battery,mic
2022-03-09 15:35:59.429978,30.82,101880.13,78.56,91,203,5945
2022-03-09 15:36:01.471854,30.80,101878.39,78.44,90,203,9470
2022-03-09 15:36:05.243645,30.86,101875.64,82.31,91,212,40082
2022-03-09 15:36:09.017705,30.80,101881.59,91.10,92,234,24017
2022-03-09 15:36:12.798382,30.73,101880.72,92.50,89,238,16549
2022-03-09 15:36:16.570480,30.90,101888.80,93.27,90,240,23520
2022-03-09 15:36:20.344089,31.04,101884.91,88.13,91,227,33628
2022-03-09 15:36:24.120485,31.00,101897.91,93.49,90,240,30837
2022-03-09 15:36:27.893573,31.21,101883.61,92.72,91,238,23871
2022-03-09 15:36:31.670248,31.66,101887.38,92.75,89,238,9345
2022-03-09 15:36:35.454338,31.75,101882.45,93.48,89,240,27362
2022-03-09 15:36:39.231531,31.55,101881.70,92.94,89,239,24081
2022-03-09 15:36:42.996351,31.57,101890.28,92.88,89,239,24825
2022-03-09 15:36:46.773905,31.19,101881.62,94.91,91,244,10873
2022-03-09 15:36:50.559994,32.18,101882.17,95.95,91,246,10010
2022-03-09 15:36:54.331958,32.02,101885.63,95.66,91,246,26779
2022-03-09 15:36:58.100192,31.64,101888.64,94.86,89,244,29692
2022-03-09 15:37:01.888072,31.90,101884.97,92.96,89,239,11008
2022-03-09 15:37:05.665728,32.17,101885.27,93.37,90,240,11743
2022-03-09 15:37:09.436384,32.32,101887.70,96.50,90,248,32072
2022-03-09 15:37:13.217283,32.02,101883.19,95.15,91,244,7736
2022-03-09 15:37:16.984523,31.93,101887.05,94.74,91,243,9420
2022-03-09 15:37:20.756711,31.75,101883.28,85.59,89,220,35107
2022-03-09 15:37:24.534002,32.22,101886.86,93.72,89,241,20603
2022-03-09 15:37:28.317925,32.54,101882.14,96.81,90,248,39946
2022-03-09 15:37:32.084616,32.45,101888.68,96.93,91,249,32841
2022-03-09 15:37:35.868268,32.74,101890.09,97.93,89,251,12783
2022-03-09 15:37:39.642261,32.32,101887.09,96.51,89,248,17610
2022-03-09 15:37:43.411976,31.84,101880.53,94.47,91,243,32693
2022-03-09 15:37:47.202314,32.17,101890.19,95.41,89,245,15748
2022-03-09 15:37:50.969805,32.65,101887.86,97.19,89,249,23684
2022-03-09 15:37:54.740114,32.57,101889.78,95.89,90,246,11137
