time,temperature,pressure,humidity,altitude,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mic,red,green,blue,alpha,fan
2021-05-17 15:34:47.263686,23.95,100909.52,40.00,34.65,-0.31,-0.95,-9.72,0.09,-0.12,-0.09,93,2,2,2,5,-1
2021-05-17 15:34:47.743617,23.95,100905.00,39.99,35.03,-0.32,-0.95,-9.71,0.09,-0.12,-0.09,178,2,2,2,5,-1
2021-05-17 15:34:48.223489,23.95,100910.47,40.01,34.57,-0.29,-0.94,-9.71,0.09,-0.12,-0.09,101,2,2,2,5,-1
2021-05-17 15:34:48.703695,23.95,100909.19,40.00,34.68,-0.31,-0.96,-9.75,0.09,-0.12,-0.10,146,2,2,2,5,-1
2021-05-17 15:34:49.183704,23.95,100908.45,40.02,34.74,-0.30,-0.95,-9.72,0.09,-0.12,-0.09,95,2,2,2,5,-1
2021-05-17 15:34:49.664127,23.95,100904.59,39.99,35.06,-0.31,-0.93,-9.69,0.09,-0.12,-0.09,103,2,2,2,5,-1
2021-05-17 15:34:50.143816,23.95,100904.84,40.04,35.04,-0.30,-0.95,-9.74,0.09,-0.12,-0.09,98,2,2,2,5,-1
2021-05-17 15:34:50.623781,23.95,100907.20,40.01,34.84,-0.32,-0.95,-9.73,0.09,-0.12,-0.09,103,2,2,2,5,-1
2021-05-17 15:34:51.103737,23.95,100904.52,40.01,35.07,-0.31,-0.96,-9.72,0.09,-0.12,-0.09,109,2,2,2,5,-1
2021-05-17 15:34:51.583777,23.96,100901.41,40.01,35.33,-0.30,-0.96,-9.73,0.09,-0.12,-0.09,103,2,2,2,5,-1
2021-05-17 15:34:52.063895,23.95,100903.26,40.01,35.14,-0.32,-0.95,-9.73,0.09,-0.12,-0.09,114,2,2,2,5,-1
2021-05-17 15:34:52.543754,23.95,100900.17,40.04,35.43,-0.31,-0.97,-9.75,0.09,-0.12,-0.09,105,2,2,2,5,-1
2021-05-17 15:34:53.023757,23.95,100899.83,40.01,35.46,-0.31,-0.95,-9.70,0.09,-0.12,-0.09,109,2,2,2,5,-1
2021-05-17 15:34:53.503855,23.96,100905.25,39.96,35.01,-0.32,-0.97,-9.72,0.09,-0.12,-0.09,101,2,2,2,5,-1
2021-05-17 15:34:53.983839,23.96,100900.56,40.02,35.40,-0.30,-0.98,-9.74,0.09,-0.12,-0.09,93,2,2,2,5,-1
2021-05-17 15:34:54.463770,23.96,100903.09,40.00,35.19,-0.27,-0.94,-9.75,0.09,-0.12,-0.09,124,2,2,2,5,-1
